,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20
ANC,5,3,5,2,3,2,1,2,5,2,3,4,3,5,3,5,3,1,3,3
ANE,2,1,1,1,2,5,2,1,5,3,4,1,2,3,1,5,3,1,3,1
ANF,4,2,4,2,3,2,1,5,1,2,4,5,1,1,4,4,4,5,3,1
ANH,3,1,1,4,1,3,1,4,4,2,2,2,2,2,3,1,4,1,2,4
ANK,5,1,4,3,3,5,4,5,1,1,2,5,2,1,1,4,4,1,4,4
ANN,3,3,1,2,4,3,2,2,4,2,2,4,1,4,1,4,5,5,3,3
ANP,4,5,1,1,1,5,3,3,4,4,1,2,1,5,4,3,1,5,1,1
ANQ,1,5,3,1,3,1,3,4,5,5,5,3,5,4,2,5,2,5,1,5
ANR,3,5,2,4,4,3,3,4,2,3,4,1,4,2,3,2,4,5,1,3
ANS,5,5,4,5,1,3,5,5,3,2,2,4,5,5,1,2,3,4,1,4
ANT,3,3,3,4,1,2,3,3,4,3,4,2,4,5,1,2,1,1,5,1
ANV,4,1,3,4,1,2,4,3,1,3,1,4,5,1,4,3,5,5,1,2
APA,3,2,3,5,4,3,3,1,1,1,1,5,5,3,2,4,5,4,3,4
APC,2,3,2,5,4,1,5,1,5,5,2,5,2,1,4,5,4,3,5,4
APE,5,3,2,1,3,5,5,1,3,4,2,5,1,1,2,3,5,4,5,4
APF,1,3,4,4,2,5,5,4,5,4,4,3,1,4,1,3,5,2,5,1
APH,4,3,3,2,4,5,2,3,5,1,4,3,2,1,3,2,2,4,1,4
APL,3,4,3,1,4,3,1,2,3,5,3,3,3,5,3,3,1,1,4,3
APM,2,5,2,2,2,5,1,1,2,1,2,2,1,5,3,5,5,5,2,2
APQ,4,1,1,3,3,5,1,1,5,2,3,1,5,3,4,2,1,4,3,1
APR,1,4,4,1,4,4,5,1,1,2,2,1,5,3,2,4,3,4,4,1
APS,5,2,5,1,1,5,1,4,3,3,3,1,2,5,4,2,4,3,1,4
APT,2,2,4,2,3,3,1,1,5,5,5,2,2,4,4,4,1,5,2,1
APV,5,2,2,4,5,5,1,5,5,3,1,4,1,4,4,1,1,5,3,2
AQB,2,2,1,2,4,2,2,1,2,2,1,5,4,2,4,3,1,3,2,5
AQC,4,5,2,1,1,5,4,5,2,4,3,1,4,3,5,1,5,4,4,1
AQD,3,5,4,3,4,5,4,1,1,5,2,5,3,5,2,2,1,1,1,5
AQE,4,2,2,1,3,2,1,3,5,4,4,5,1,4,2,1,5,3,1,1
AQG,2,5,3,3,1,2,2,5,2,4,3,3,3,3,5,1,5,3,2,4
AQI,2,4,5,5,1,5,1,2,1,2,3,4,1,2,2,5,5,2,2,5
AQM,5,4,2,2,3,4,4,4,5,5,1,4,2,3,3,4,4,5,2,2
AQN,3,2,1,1,4,3,5,1,4,4,5,4,1,1,1,2,1,4,1,2
AQQ,5,3,5,1,2,3,2,2,1,4,4,4,4,2,2,3,5,4,5,3
AQS,2,1,2,4,3,3,1,4,5,3,3,1,3,3,3,2,2,4,1,3
ARC,4,2,1,2,2,4,1,4,4,4,5,1,5,1,3,3,5,1,5,4
ARE,4,1,1,1,1,5,1,5,1,5,3,3,2,1,1,4,5,2,1,4
ARG,2,3,1,4,4,5,3,3,5,3,3,5,2,1,1,1,5,3,5,1
ARH,1,1,1,2,2,2,5,2,3,2,2,1,1,2,5,4,2,3,1,3
ARI,3,3,4,3,1,5,2,3,4,3,2,3,2,1,2,3,3,3,3,4
ARK,1,3,5,3,4,4,1,3,4,4,1,2,4,2,2,4,2,2,3,1
ARL,2,2,2,3,1,2,3,4,2,2,1,5,3,2,2,4,1,2,5,3
ARM,3,2,2,4,3,1,2,3,1,2,2,2,4,2,2,5,4,4,1,1
ARP,4,1,4,3,1,5,4,3,5,1,5,5,5,5,2,3,3,4,1,5
ARQ,5,3,1,4,5,5,2,5,1,3,2,5,1,5,5,1,1,4,3,1
ARR,5,1,2,2,4,5,4,3,5,3,5,1,4,4,2,4,3,1,4,4
ART,4,1,3,5,2,4,4,1,2,3,5,4,2,4,5,5,3,1,1,4
ARV,5,1,5,3,1,4,2,1,2,1,2,2,4,3,2,4,5,4,3,5
ASB,1,5,2,4,5,2,4,1,2,1,3,5,2,5,3,4,4,1,5,4
ASD,5,3,2,2,3,5,5,1,3,3,5,2,5,5,1,4,3,5,5,2
ASE,1,5,1,1,5,3,4,2,1,2,2,2,4,3,3,1,3,2,2,5
ASG,2,4,4,5,2,1,1,2,5,5,5,5,1,4,2,1,1,4,3,5
ASL,4,1,4,4,1,1,5,3,4,2,5,3,1,4,3,3,2,5,3,4
ASN,3,4,5,1,4,5,3,4,2,3,3,4,2,4,3,2,1,1,5,1
ASR,5,4,2,5,4,3,3,4,1,4,2,5,5,1,3,3,4,4,5,2
ASS,4,4,4,1,3,5,3,5,4,4,2,2,4,4,1,3,3,4,5,1
AST,2,2,3,3,1,3,2,5,1,4,3,5,3,2,4,4,4,4,3,3
ASV,3,2,2,4,4,1,5,3,1,2,5,2,1,2,1,4,2,4,1,5
ATA,4,2,1,2,4,3,1,2,4,1,3,3,3,2,3,4,4,2,2,3
ATC,3,5,3,2,4,2,5,2,4,1,3,3,2,4,5,5,3,2,5,2
ATD,4,1,4,3,2,1,2,5,4,5,3,4,4,4,1,3,1,3,2,3
ATE,1,1,4,3,2,2,4,5,4,2,5,1,3,3,4,3,2,5,3,3
ATH,5,3,3,4,5,5,4,3,1,2,3,5,2,5,5,1,3,2,3,3
ATM,4,3,5,4,3,1,1,4,4,1,4,5,2,4,2,1,2,4,2,1
ATN,5,3,4,4,2,2,5,3,5,2,2,5,2,1,4,4,1,2,1,2
ATP,2,2,3,5,1,5,2,4,2,5,3,3,5,4,4,2,2,2,4,3
ATQ,1,2,2,3,5,1,5,2,5,4,1,1,3,2,2,3,1,3,3,4
ATS,3,3,1,4,3,3,4,2,5,3,3,5,4,4,1,3,4,3,3,5
AVC,4,2,3,3,3,5,5,4,1,5,4,2,2,1,3,4,2,4,4,3
AVH,5,5,3,5,1,3,3,1,5,1,1,3,4,1,5,5,2,5,5,2
AVI,1,4,1,4,5,5,3,1,3,4,5,5,1,2,5,5,1,1,2,5
AVK,5,3,5,4,2,5,2,1,3,3,2,3,3,5,2,2,1,2,1,2
AVL,4,3,3,3,4,1,5,3,1,1,4,4,4,2,1,4,3,5,1,2
AVM,3,5,3,3,2,1,2,5,2,5,2,1,1,2,4,4,5,4,1,1
BAG,4,3,1,1,4,3,2,4,4,5,5,2,2,5,5,5,3,5,5,4
BAH,1,5,5,3,5,5,2,5,5,4,5,4,3,3,1,1,2,5,4,4
BAI,4,4,3,2,2,1,4,2,5,4,4,1,4,3,5,4,2,3,4,2
BAK,4,1,1,1,4,3,3,1,4,1,4,4,2,4,5,5,5,3,3,4
BAL,4,1,5,2,4,1,5,1,5,4,2,4,2,1,2,4,5,1,1,2
BAM,2,5,1,5,2,3,5,1,3,1,3,4,2,4,5,1,1,5,4,2
BAN,2,5,4,5,5,3,5,2,4,5,2,4,3,2,3,3,5,3,1,4
BAP,4,1,3,2,5,2,5,1,3,3,1,2,2,4,2,3,3,5,5,4
BAQ,4,5,5,5,5,1,4,3,5,2,4,1,2,1,5,4,4,4,2,5
BAS,2,2,2,4,1,4,3,5,5,2,4,2,1,4,4,1,2,2,1,3
BAT,3,5,5,4,3,3,2,2,4,5,4,3,2,2,3,2,1,3,1,3
BAV,5,2,5,5,1,2,2,5,2,3,4,5,2,2,2,1,1,5,1,3
BBA,4,3,3,2,5,3,1,2,1,1,5,5,5,3,5,1,4,2,4,2
BBB,5,4,5,2,2,5,1,1,3,2,2,4,5,1,3,5,1,1,2,4
BBD,2,2,1,3,3,3,4,3,2,1,1,2,3,2,4,2,5,4,4,2
BBF,3,1,2,4,1,1,1,5,1,3,3,1,4,4,2,2,3,4,5,1
BBH,1,4,2,1,1,2,2,2,4,4,1,4,3,2,5,5,5,1,5,1
BBI,3,1,4,3,1,3,3,1,4,3,1,5,5,1,2,4,1,2,1,5
BBK,5,1,1,3,3,3,2,3,2,4,2,1,5,2,3,5,3,4,4,1
BBL,5,4,4,5,3,5,3,3,4,5,5,1,1,3,2,2,3,1,2,3
BBM,1,5,3,4,5,5,3,3,3,5,5,2,2,1,3,3,5,3,3,4
BBP,1,2,5,1,4,5,5,5,3,4,1,5,2,4,4,5,4,2,2,2
BBQ,1,4,1,3,5,3,5,4,3,5,3,2,5,2,5,2,3,3,4,5
BBR,3,1,3,5,3,2,3,1,2,3,1,1,2,2,4,1,2,5,2,5
BBS,2,2,2,5,4,1,2,1,3,3,3,5,2,5,2,2,1,5,3,4
BBV,1,4,1,3,5,3,4,2,2,4,5,2,3,1,2,1,1,4,1,3
BCA,5,2,5,5,5,4,5,1,3,1,4,3,5,4,1,1,1,2,2,1
BCB,5,4,3,1,1,2,3,1,4,1,5,4,3,4,2,4,5,1,4,4
BCC,5,5,3,1,1,2,2,3,1,4,5,1,2,5,2,2,2,3,5,4
BCD,4,4,1,3,2,2,1,4,5,5,3,1,3,4,3,4,2,2,1,3
BCE,5,3,4,2,5,4,3,4,3,1,3,2,2,2,3,4,4,5,4,4
BCF,1,2,1,3,5,2,2,5,4,5,5,2,1,1,1,4,3,2,1,3
BCG,5,4,4,1,4,1,1,2,4,2,1,2,2,4,2,5,1,1,1,2
BCH,5,1,2,1,1,5,2,2,5,1,2,1,3,5,3,3,2,2,3,5
BCI,5,4,4,4,5,4,3,1,4,4,4,3,1,4,2,1,1,1,5,2
BCK,4,2,1,1,2,4,3,1,1,1,5,5,3,4,3,1,2,5,2,5
BCL,1,2,5,4,4,4,3,2,4,4,1,2,5,4,4,2,5,3,1,4
BCP,3,2,1,5,1,3,3,3,3,4,2,3,1,4,5,4,3,1,5,4
BCQ,4,2,4,2,4,3,1,2,3,3,1,3,1,2,1,3,3,3,2,2
BCS,3,5,1,2,5,2,3,1,3,3,5,5,3,1,2,3,2,5,1,1
BCT,4,1,5,4,2,1,4,5,5,2,5,4,1,3,4,2,2,3,3,1
BCV,3,2,3,3,1,1,1,3,1,2,1,5,5,3,3,1,4,5,1,2
BDC,1,1,4,2,2,1,5,4,5,1,3,4,5,5,5,1,4,5,2,1
BDF,5,2,2,4,1,5,5,5,1,3,4,2,1,1,3,5,3,3,4,5
BDG,4,1,1,2,3,2,1,2,3,2,2,5,5,3,5,5,2,5,5,5
BDH,5,5,3,3,3,2,3,5,1,2,4,3,1,5,1,5,2,1,1,5
BDI,5,3,4,4,5,4,5,4,5,4,5,4,2,3,5,2,4,4,4,1
BDL,1,2,5,2,3,5,4,3,5,1,2,3,1,3,4,3,2,5,4,2
BDN,4,3,4,2,5,5,3,3,2,5,2,1,3,2,2,3,4,1,2,4
BDP,1,1,1,1,2,4,3,5,3,5,1,4,3,1,1,3,3,2,2,5
BDQ,2,1,1,4,1,3,1,3,2,2,4,4,4,2,4,1,2,3,5,5
BDR,3,1,3,1,4,3,2,5,1,2,5,3,2,1,1,3,2,2,4,4
BDS,3,4,5,5,4,5,4,2,2,3,3,2,5,2,1,5,3,5,5,3
BDT,5,2,1,4,3,4,1,1,3,1,2,5,3,5,4,5,2,4,1,5
BEA,5,1,3,5,5,5,3,4,3,5,5,3,3,3,5,4,1,1,1,5
BEB,3,3,2,1,2,2,1,4,5,5,5,2,2,2,4,5,2,1,4,3
BEC,4,1,4,4,3,1,3,2,4,5,3,3,3,3,2,1,4,4,3,1
BED,3,2,3,2,3,1,3,5,4,3,2,3,3,3,4,1,1,2,5,3
BEE,4,5,4,1,2,1,2,1,1,2,4,2,5,4,2,5,4,1,5,2
BEF,5,4,3,4,4,5,3,4,2,5,3,4,2,3,1,3,4,5,1,1
BEG,1,5,2,2,3,5,3,5,4,2,3,1,5,1,5,5,1,3,2,5
BEH,3,2,3,5,1,1,4,3,1,4,5,5,4,2,3,3,4,5,4,5
BEP,3,3,5,4,3,2,5,5,5,5,5,5,5,2,4,1,2,2,2,1
BEQ,1,2,2,1,4,4,2,2,2,3,3,1,1,2,3,5,1,4,3,2
BER,3,4,1,2,2,1,5,2,2,3,3,4,3,2,4,4,4,2,5,2
BET,2,3,2,4,3,5,5,2,5,1,1,5,3,1,5,2,2,1,4,2
BEV,4,5,5,3,2,2,2,2,1,5,3,4,1,4,3,4,1,5,3,2
BFA,4,4,5,1,1,1,4,2,4,2,5,3,2,1,4,2,2,5,3,4
BFB,5,4,3,3,3,4,3,2,4,2,4,5,5,5,1,4,2,1,4,3
BFC,2,3,4,2,3,1,1,4,4,3,1,3,1,3,3,1,1,4,5,2
BFD,2,1,4,4,3,1,3,3,2,5,3,5,2,4,5,2,1,4,3,4
BFH,1,4,4,5,2,1,1,4,1,3,4,4,5,1,4,3,3,1,1,2
BFN,3,3,2,4,1,2,3,5,3,2,2,1,5,4,3,4,1,3,1,3
BFQ,2,2,2,1,2,4,1,2,2,4,5,3,4,3,2,5,1,3,3,3
BFR,2,3,2,3,1,4,4,3,3,1,1,1,4,5,1,2,5,2,2,3
BFS,1,4,4,1,4,4,5,4,3,3,4,2,2,3,1,2,1,5,2,2
BFV,2,2,4,3,1,2,3,5,2,4,3,3,1,4,4,4,3,5,5,5
BGA,1,3,4,3,2,2,1,1,5,3,1,5,3,2,3,4,4,2,4,3
BGB,3,1,5,2,2,4,3,2,2,3,4,1,1,2,4,4,3,1,2,1
BGC,3,5,1,4,2,1,5,5,2,1,2,4,5,3,5,3,4,5,4,3
BGG,3,2,5,2,1,2,3,4,1,5,4,5,2,1,4,1,4,1,5,1
BGH,3,2,5,2,4,1,3,1,4,5,5,2,5,3,5,5,5,4,5,4
BGI,3,5,4,3,5,5,3,2,4,1,3,2,2,1,3,4,2,4,4,1
BGK,2,5,1,3,3,4,5,3,5,5,1,1,5,1,3,3,1,1,2,1
BGL,2,1,5,2,4,1,5,3,4,4,5,3,3,4,4,3,4,4,3,4
BGN,3,1,5,3,4,2,3,2,1,5,2,5,4,1,2,3,2,2,3,5
BGP,2,5,3,5,2,1,5,1,3,4,1,5,2,5,3,2,5,1,1,1
BGQ,4,2,4,1,1,4,5,5,4,2,1,4,1,5,5,2,1,5,4,4
BGR,1,5,1,2,3,5,5,1,4,1,1,5,5,3,3,2,1,2,4,1
BGT,1,5,2,5,1,1,5,5,2,2,1,3,3,4,5,3,5,2,4,3
BGV,5,4,5,2,4,3,3,4,4,1,1,5,2,1,5,5,2,1,2,3
BHB,5,1,4,5,1,2,3,1,4,2,2,2,1,4,3,2,1,2,5,3
BHC,5,5,1,1,4,2,4,4,4,3,5,4,4,3,1,2,4,5,1,5
BHD,4,1,5,3,5,5,2,5,4,4,3,3,2,1,1,3,1,2,2,3
BHE,3,2,2,2,4,1,3,4,1,3,1,3,3,1,2,2,2,5,2,1
BHF,5,1,5,1,1,1,3,5,4,2,5,2,1,1,4,1,1,3,4,1
BHG,5,2,4,2,5,5,5,4,3,1,4,1,2,5,5,1,1,4,4,4
BHH,5,3,3,3,5,4,2,3,5,1,5,1,4,1,1,2,4,4,1,3
BHI,5,4,5,5,4,4,1,1,3,2,5,2,2,3,4,5,4,3,1,3
BHM,3,2,5,3,2,5,3,1,4,1,1,4,5,3,1,4,5,2,5,3
BHN,4,4,3,4,4,1,2,2,2,1,4,3,4,1,4,5,3,3,1,4
BHP,4,2,3,3,3,1,5,4,1,5,3,3,3,3,5,1,4,3,5,4
BHR,3,4,4,1,3,5,1,4,5,1,4,4,5,4,1,3,2,1,5,2
BHT,5,2,3,5,3,2,3,4,4,1,4,4,3,2,3,3,4,3,4,2
BHV,4,2,1,5,2,4,5,4,4,4,4,5,2,1,1,3,2,5,3,5
BIA,1,1,3,2,4,5,2,4,2,3,5,3,5,1,5,5,5,5,5,5
BIC,5,3,5,3,4,2,4,5,3,4,3,5,4,4,2,2,1,3,5,1
BIE,2,4,2,2,2,3,3,2,1,4,4,1,5,3,1,5,3,1,4,5
BIF,1,5,3,5,2,3,3,1,5,4,5,5,5,4,5,4,3,3,4,2
BIG,3,4,3,2,1,2,4,1,5,5,4,1,5,3,3,1,2,3,2,5
BIH,4,4,5,4,1,1,5,2,3,1,5,4,1,5,2,3,4,5,5,5
BII,3,3,2,5,4,2,4,1,3,3,3,1,2,4,1,4,5,5,5,1
BIK,4,3,2,1,4,1,1,2,5,2,4,4,4,5,5,2,2,4,4,2
BIL,3,3,2,1,5,1,1,5,5,2,5,3,2,3,2,1,5,2,5,1
BIP,3,1,5,5,5,4,2,4,2,4,3,4,3,5,3,4,2,2,2,3
BIT,1,5,1,3,5,1,4,3,1,2,4,1,2,3,5,4,4,1,2,3
BKA,3,2,2,3,3,3,3,5,4,5,5,5,2,2,2,1,5,4,1,3
BKC,1,3,3,4,5,2,5,5,5,2,3,2,5,1,4,1,3,3,3,5
BKE,4,3,1,4,2,3,1,4,5,4,4,5,5,3,2,1,5,1,1,2
BKF,5,5,4,5,2,1,5,4,4,3,4,2,1,5,5,2,5,2,1,1
BKH,4,3,2,5,4,3,4,5,1,5,3,1,2,2,1,2,1,3,4,3
BKI,1,1,2,2,1,5,5,1,4,5,5,1,3,5,5,5,2,3,1,2
BKK,5,1,5,1,4,5,4,4,5,2,2,2,4,4,2,1,1,3,1,2
BKL,5,2,2,3,4,1,5,4,4,1,2,3,1,5,3,3,4,2,5,2
BKM,3,1,3,5,1,4,5,5,1,2,5,2,3,3,5,1,3,5,3,5
BKP,2,1,2,1,3,1,5,5,4,4,5,3,2,5,4,3,5,3,3,1
BKQ,2,1,3,3,5,3,1,1,3,1,4,2,1,1,1,2,4,4,4,3
BKR,1,1,2,1,5,5,2,2,4,4,3,1,1,3,3,1,3,4,4,1
BKS,4,5,5,3,5,3,5,2,3,3,2,2,4,5,5,3,2,3,1,4
BKT,2,2,4,5,4,3,3,1,1,1,5,4,1,4,4,4,3,5,4,5
BLB,2,5,5,2,3,2,3,2,3,3,4,4,2,5,5,5,1,4,2,4
BLC,4,2,1,2,1,4,2,4,1,2,2,2,3,1,5,3,5,3,5,3
BLD,2,2,5,1,1,2,2,5,2,2,4,2,4,4,2,2,4,2,5,1
BLE,1,4,5,2,3,4,1,4,1,4,3,1,3,5,1,1,5,5,4,3
BLG,4,2,3,4,2,2,1,2,5,5,5,1,5,5,2,2,1,4,2,4
BLH,1,1,3,5,3,5,3,3,5,3,1,1,5,3,5,5,2,2,2,1
BLI,1,4,4,2,1,3,5,1,4,4,5,1,5,1,1,4,5,1,4,5
BLL,4,3,1,5,2,2,1,5,5,5,4,4,2,5,2,5,5,3,3,2
BLM,5,4,3,2,4,4,5,3,2,1,4,4,2,2,5,5,4,3,3,1
BLN,5,3,3,4,1,5,4,2,4,1,3,4,5,3,1,2,3,4,2,3
BLP,4,1,2,4,1,4,4,5,5,3,1,3,5,2,1,5,2,3,2,2
BLR,4,4,1,5,4,5,4,5,3,4,1,1,4,2,4,5,3,3,5,3
BLS,5,1,4,5,5,1,1,4,2,2,2,1,1,3,4,4,1,5,5,2
BLV,1,4,1,2,3,1,5,4,2,1,5,4,2,4,2,1,1,4,1,3
BMA,5,5,2,2,1,1,1,2,4,1,1,1,2,5,3,5,1,1,3,5
BMB,2,5,3,5,1,3,1,5,3,4,1,2,1,4,5,1,3,1,3,1
BMC,3,3,5,5,5,3,4,4,2,5,1,3,3,4,4,5,1,4,4,3
BMD,5,4,5,4,4,3,1,4,1,3,1,2,3,3,2,2,5,5,4,4
BMH,2,1,1,3,5,1,3,5,5,2,3,2,5,4,2,2,5,1,5,1
BMI,3,4,2,1,4,2,2,2,3,4,5,1,4,1,4,3,1,4,1,3
BMK,1,3,3,2,2,3,4,3,4,3,5,4,4,5,4,2,4,3,3,4
BMN,3,4,5,3,1,4,3,2,3,5,3,3,1,1,3,1,5,5,2,5
BMQ,1,5,3,5,2,1,3,5,5,3,5,1,1,5,4,5,3,3,3,2
BMR,4,5,3,5,5,1,2,3,3,2,3,4,3,1,5,4,1,3,1,4
BMV,4,5,3,4,2,5,2,1,5,5,4,4,2,1,4,2,5,3,3,2
BNA,3,5,1,5,4,3,4,2,2,3,1,3,3,2,5,5,4,1,5,1
BNB,1,2,3,3,3,1,3,1,2,3,5,3,4,3,5,2,5,5,3,1
BND,1,4,5,2,1,2,4,1,4,4,3,4,5,5,4,3,2,4,1,1
BNE,3,3,4,3,4,4,4,1,1,2,3,2,3,3,2,2,5,2,2,1
BNH,2,5,1,4,4,4,4,4,1,4,5,1,1,5,5,1,1,1,2,1
BNK,5,4,2,2,2,2,1,2,5,5,2,2,1,2,2,3,4,1,2,5
BNL,1,2,3,1,5,3,4,5,3,5,2,1,3,3,5,3,1,2,2,3
BNM,1,5,3,3,5,3,3,2,5,2,5,3,2,4,1,5,1,3,4,2
BNN,4,3,2,2,3,4,1,1,3,1,2,3,5,1,5,1,1,5,5,3
BNQ,4,2,4,3,4,2,3,4,3,2,3,4,5,4,3,1,3,5,4,3
BNR,3,4,3,1,3,5,3,2,2,4,2,1,3,5,5,2,2,3,3,2
BNT,4,4,1,5,2,4,1,5,4,2,2,1,1,2,2,2,2,5,4,5
BNV,3,2,2,3,1,3,1,5,2,4,2,3,5,5,4,3,4,5,4,1
BPA,5,4,4,4,5,1,5,2,1,2,4,4,1,4,3,1,1,1,1,5
BPF,4,5,5,2,1,5,4,4,5,2,2,4,5,1,1,4,4,3,4,4
BPH,3,2,1,5,2,1,4,1,5,1,2,1,2,4,5,2,5,2,2,2
BPI,3,4,1,1,2,5,1,5,1,5,2,2,3,1,1,5,1,1,2,3
BPK,2,3,3,5,3,2,3,1,2,4,3,1,5,2,5,5,5,2,1,5
BPL,3,3,5,1,1,2,2,4,2,4,5,5,1,3,1,1,5,5,5,5
BPM,2,3,5,1,2,2,2,5,4,3,1,1,4,3,2,4,4,2,1,2
BPN,2,2,5,4,5,3,4,4,1,3,4,2,5,5,3,2,4,5,2,1
BPP,1,4,3,3,1,2,4,2,1,3,1,1,3,4,5,1,1,1,1,4
