,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10
9728,5,1,2,3,1,1,4,1,5,1
9729,5,4,3,1,2,1,1,2,1,2
9730,3,4,5,1,1,3,2,4,3,4
9736,5,5,4,4,3,5,1,2,3,1
9743,2,2,2,2,3,5,2,4,3,1
9747,4,2,4,1,4,3,4,2,1,4
9748,2,3,4,5,5,2,3,1,1,1
9759,5,5,1,3,1,5,3,5,5,3
9762,5,3,3,1,3,5,4,1,5,4
9768,2,1,4,3,2,4,5,1,4,5
9769,5,3,5,3,1,3,1,5,5,5
9770,3,1,1,3,5,4,3,4,3,1
9771,5,1,1,3,4,4,5,1,2,5
9772,2,4,5,5,2,3,2,2,1,3
9774,1,3,5,3,3,4,3,3,3,2
9778,2,3,5,2,2,3,5,2,2,1
9779,5,4,5,3,2,3,1,3,2,2
9780,4,5,4,1,1,5,5,3,5,2
9781,4,1,2,4,1,3,1,4,1,3
9782,3,2,4,2,5,1,4,2,4,5
9784,3,4,4,3,1,3,4,3,3,2
9785,1,2,1,1,4,1,3,1,1,3
9786,4,2,5,1,4,3,1,1,5,2
9788,4,4,2,3,1,5,5,3,3,2
9789,4,2,2,2,5,4,3,2,5,2
9790,3,3,1,5,2,4,2,2,4,5
9791,5,1,2,4,2,1,3,1,5,1
9792,5,1,2,5,3,5,2,3,2,1
9793,5,2,4,2,4,4,1,4,3,1
9794,2,5,3,3,1,5,5,2,5,2
9795,2,2,1,4,3,3,2,1,1,3
9796,4,1,4,3,5,5,3,3,5,3
9797,4,4,2,3,3,3,1,1,5,1
9798,4,2,4,4,1,2,3,3,4,5
9800,4,1,1,3,3,4,1,3,2,1
9801,1,3,3,3,4,4,4,3,3,1
9802,3,2,1,3,2,2,3,3,3,1
9803,4,2,5,3,5,5,3,1,3,3
9804,5,3,4,5,5,2,5,1,1,5
9805,5,2,3,3,4,2,5,1,2,1
9806,1,3,3,4,4,3,3,5,5,4
9807,4,2,5,4,5,1,2,4,4,4
9808,2,3,1,4,2,1,2,5,3,3
9809,1,1,1,4,2,3,2,2,1,3
9811,2,1,5,2,1,2,1,1,5,4
9812,3,4,4,1,5,5,2,3,3,2
9813,2,1,5,5,5,5,3,5,4,3
9814,3,4,2,2,5,4,2,2,5,2
9815,1,4,1,2,5,5,5,5,1,5
9819,1,1,5,3,5,3,4,3,2,5
9821,1,5,3,3,3,5,3,2,1,2
9823,5,4,3,3,2,2,1,1,1,3
9827,5,4,1,2,3,3,4,4,5,3
9830,4,4,1,2,5,5,2,2,3,4
9831,4,5,2,3,5,1,2,1,1,4
9832,5,5,5,4,5,3,4,4,1,5
9835,3,3,4,4,5,3,1,5,2,1
9843,2,4,2,4,4,4,4,5,5,5
9844,5,3,1,5,3,4,2,3,2,3
9845,4,1,3,1,3,2,2,2,4,2
9849,4,3,4,2,5,1,5,2,5,4
9850,1,5,5,3,5,4,5,2,3,2
9854,1,4,3,4,2,3,3,5,4,1
9855,5,2,3,1,2,3,4,5,4,2
9856,4,2,3,2,1,2,3,4,5,2
9859,1,1,2,4,2,1,4,5,5,5
9864,5,2,5,3,2,5,3,5,1,5
9866,3,1,2,1,2,1,4,1,4,3
9867,3,3,4,1,3,5,3,3,2,3
9870,2,1,2,3,2,4,4,4,5,1
9875,3,3,1,3,5,5,1,1,3,4
9881,4,2,5,4,3,5,4,4,4,1
9888,4,1,5,4,1,4,5,4,4,2
9894,4,4,1,1,5,4,3,1,5,5
9895,2,3,2,5,4,3,3,5,3,2
9897,5,5,1,2,1,5,1,2,4,5
9899,5,3,3,5,5,2,4,2,2,2
9900,1,5,2,2,4,2,4,3,3,5
9908,4,1,3,3,5,4,2,5,5,1
9909,3,1,1,4,4,3,5,4,5,4
9911,5,4,1,2,4,2,2,2,4,2
9915,5,1,5,1,5,3,5,1,1,1
9918,3,5,4,3,5,2,2,2,5,2
9920,1,3,1,5,4,1,4,4,3,4
9921,2,1,2,1,3,4,5,1,3,5
9924,5,5,1,3,4,1,2,4,3,1
9929,4,1,2,1,1,4,5,3,3,5
9933,4,2,5,5,4,3,3,2,2,1
9938,3,4,1,2,2,5,3,1,5,5
9939,2,3,3,5,5,4,1,4,3,2
9941,1,5,2,4,4,1,5,4,3,4
9944,5,3,3,4,3,2,2,4,3,4
9945,1,4,3,4,5,4,4,4,3,4
9950,1,4,5,2,4,5,4,4,2,5
9953,4,2,5,3,1,4,1,5,2,1
9959,4,1,5,2,4,5,5,4,5,1
9962,5,4,2,2,1,5,5,2,2,5
9963,5,5,3,4,4,1,3,1,2,5
9964,5,4,1,2,5,4,4,3,1,5
9966,2,3,4,3,3,2,2,1,1,1
9968,4,4,5,3,5,3,2,1,4,1
9969,4,5,5,5,4,1,1,2,4,4
9970,4,1,5,2,3,3,2,1,5,1
9972,5,5,3,2,4,4,5,4,2,1
9976,4,1,5,4,2,2,2,3,3,5
9979,4,4,3,2,3,1,2,5,5,1
9985,3,1,1,4,4,5,4,1,1,3
9987,1,4,4,1,1,1,3,5,1,3
9990,3,5,4,4,2,3,4,3,3,4
9998,2,5,1,5,3,3,1,5,1,5
10001,2,4,3,1,2,1,1,2,4,2
10009,3,3,4,4,4,2,5,4,1,5
10011,2,2,5,1,2,5,1,2,1,2
10013,3,5,3,5,1,2,5,3,5,3
10015,5,1,3,3,3,5,4,3,1,1
10020,3,4,4,2,1,4,4,1,4,1
10022,5,2,1,2,5,3,3,4,1,2
10023,2,3,5,5,5,1,4,4,1,1
