,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10
9894,2,3,5,4,3,5,1,1,5,4
9696,1,2,1,5,1,1,5,5,3,5
9928,2,3,2,1,2,4,2,2,1,2
9633,2,3,1,2,5,5,1,1,2,2
9601,4,1,4,3,3,1,1,2,5,1
6038,3,3,1,5,3,5,1,5,4,1
9728,1,2,2,5,4,1,5,3,1,2
10009,2,5,5,2,5,5,3,2,3,5
9721,5,5,5,5,3,4,5,2,4,2
5210,2,5,2,3,3,2,1,2,4,2
768,1,2,2,5,3,2,4,5,2,1
7169,4,4,3,5,5,3,4,1,3,2
9881,2,3,2,1,5,5,5,4,1,1
9105,3,5,3,4,2,2,5,1,3,4
9959,5,5,2,1,4,4,1,5,3,5
9404,1,3,4,3,2,1,3,4,3,1
8297,4,2,5,4,1,5,4,1,2,5
9533,3,3,3,5,3,2,2,4,2,3
9729,2,3,5,3,1,1,2,4,1,1
9579,4,5,5,5,5,5,3,3,3,1
9588,1,2,5,5,2,3,2,2,3,2
9668,5,4,4,4,2,3,1,5,2,5
9630,4,2,4,3,3,5,1,2,1,5
9906,1,1,1,5,5,4,4,5,4,4
9966,5,3,3,3,5,1,3,4,3,2
9102,5,5,3,2,2,5,5,3,2,3
9640,1,5,5,2,2,4,1,3,2,5
9736,2,5,2,4,3,1,3,1,4,4
9525,1,5,4,4,4,5,2,1,1,4
10018,4,2,2,3,2,3,5,3,5,2
9897,2,5,3,2,1,1,4,1,2,3
9690,3,3,5,4,5,2,4,2,1,5
9622,2,2,5,5,5,5,1,5,1,3
9970,5,5,3,3,4,3,2,4,1,2
9701,5,3,4,5,5,5,1,5,1,3
9755,2,5,4,2,3,4,4,3,1,3
9987,5,4,2,5,2,3,2,5,2,3
9714,3,1,2,4,5,1,4,4,2,5
2171,4,1,5,3,3,5,1,3,5,1
9637,4,4,4,5,5,5,4,2,2,3
9103,4,2,5,2,4,2,2,3,4,5
9859,5,4,3,2,3,5,4,4,2,1
9619,2,1,2,3,3,3,3,4,3,5
9850,2,1,3,3,3,5,5,4,4,4
9710,4,4,5,3,3,3,2,5,5,1
9562,5,1,5,1,3,1,4,2,5,3
9733,5,3,4,1,5,4,5,2,2,2
2276,3,2,3,2,2,5,4,1,3,2
9844,3,5,3,3,1,4,2,4,5,4
9892,2,1,2,2,2,4,1,4,1,2
9523,1,4,4,5,5,1,3,2,2,4
2278,3,2,5,4,1,5,2,4,4,5
9957,1,5,3,1,4,4,4,3,5,3
9708,2,5,4,3,1,5,2,2,1,3
9642,4,3,2,3,2,3,5,3,1,3
9748,3,3,2,4,1,1,2,1,2,1
9950,1,5,4,2,3,3,5,2,4,3
9665,4,2,3,3,2,4,1,5,2,4
9678,4,1,3,4,3,3,2,4,4,4
6020,4,3,2,5,3,5,3,2,5,4
4807,5,1,4,4,3,2,3,2,3,4
9106,1,3,1,3,4,1,1,3,5,5
9880,2,1,2,1,1,4,4,5,3,3
9518,1,1,5,4,1,1,2,3,5,1
997,4,4,3,5,2,5,2,2,1,5
6137,4,2,3,1,3,1,5,2,3,1
9929,2,1,4,5,5,5,5,4,4,1
1158,3,4,5,4,1,1,2,4,2,4
9540,5,4,5,2,4,5,1,4,5,1
9831,4,1,2,1,3,2,3,4,2,3
9627,4,5,4,4,1,1,3,2,4,2
801,2,1,3,3,3,3,3,5,1,3
5741,5,5,1,4,2,3,5,3,1,5
9656,5,2,5,2,1,1,5,4,1,1
7316,4,5,4,5,2,5,3,3,4,5
9111,1,3,1,1,1,5,2,3,2,4
9684,3,2,3,4,1,3,3,3,1,2
9583,1,3,3,3,2,1,2,2,5,5
9543,2,4,1,4,5,4,4,1,3,4
9918,2,4,5,3,1,5,5,4,4,4
9599,2,2,1,3,4,5,5,1,2,3
9632,2,5,1,4,3,1,2,5,2,2
9832,1,3,4,2,2,1,1,3,4,1
6138,4,3,5,4,5,4,3,1,2,4
9598,3,3,3,5,4,4,4,4,1,1
7427,1,2,5,5,1,2,3,3,2,5
9531,4,3,2,1,3,1,5,2,3,2
6680,3,4,1,3,3,1,3,1,2,4
6198,4,5,1,1,4,3,1,1,5,5
9991,3,1,4,2,1,2,5,1,4,5
8234,1,1,2,5,3,2,4,5,1,2
9953,2,2,3,3,2,2,1,1,5,1
9717,5,5,1,4,1,2,3,5,2,4
6111,2,5,2,4,4,5,5,5,1,4
9582,1,4,2,5,2,1,4,3,1,2
9890,4,1,5,3,5,2,2,4,4,3
9747,1,3,4,5,3,2,4,4,4,5
8247,2,4,1,3,2,3,5,4,5,5
6106,1,4,2,4,5,2,2,5,1,5
9905,5,2,3,3,3,5,1,3,2,2
9405,4,3,1,4,3,2,4,3,1,2
2202,4,2,3,3,3,3,4,1,1,5
9888,3,5,4,1,4,5,3,1,1,4
5349,1,3,2,2,1,1,4,5,3,4
9091,3,3,3,1,3,2,1,5,5,4
8351,3,1,4,2,4,5,4,3,3,5
9848,2,2,5,2,2,1,2,2,5,4
9634,2,5,3,1,1,4,4,5,4,4
9075,4,5,3,5,5,1,2,1,4,3
9819,4,1,4,3,2,5,1,3,3,4
1829,4,1,2,4,5,2,1,1,2,5
9849,1,4,1,5,3,5,5,3,2,3
9592,5,1,2,1,5,2,4,2,3,1
4958,3,3,2,5,1,4,1,5,1,3
6086,4,5,4,4,3,4,2,1,5,2
9545,3,3,5,1,1,4,3,1,2,5
1954,2,1,3,2,4,5,3,2,4,5
9867,4,3,2,3,3,3,4,3,2,2
9079,5,3,4,3,4,4,2,1,5,3
9901,3,3,1,1,3,5,2,2,4,5
6201,4,3,5,3,1,3,2,2,2,3
6140,5,4,1,5,4,3,4,1,5,2
9567,2,1,4,2,1,1,4,1,3,5
9554,2,3,2,3,3,2,1,1,1,1
9078,2,3,1,2,3,5,4,2,3,1
6107,4,2,1,2,3,5,3,5,5,5
6177,1,5,1,2,1,5,3,4,1,3
6148,2,2,1,4,4,2,2,5,5,4
9553,1,1,1,3,1,5,2,3,1,1
9576,1,3,1,2,5,4,4,1,3,3
9607,5,2,4,1,2,3,4,3,2,5
7354,3,5,4,2,4,2,3,4,4,2
8231,3,4,1,4,4,1,5,1,1,2
9532,4,1,5,1,3,4,4,5,1,3
9903,1,5,2,4,5,2,3,3,2,2
9593,3,5,4,1,2,2,4,1,5,2
9568,1,2,2,2,1,5,5,2,2,4
9951,5,5,3,5,2,3,1,2,3,2
9945,4,2,3,3,5,3,2,4,2,1
9942,2,3,4,4,4,3,4,5,5,5
9616,3,5,3,5,2,4,5,4,3,4
9870,4,1,2,1,2,5,2,4,4,4
5822,4,1,5,4,4,1,3,1,2,1
9557,3,1,5,3,3,2,4,4,4,2
9988,5,1,1,2,2,4,2,4,2,2
9099,2,2,3,2,1,2,1,4,5,3
9095,2,3,5,3,5,1,5,4,1,4
6009,4,3,5,2,5,2,1,2,3,5
6169,2,4,5,1,2,3,3,2,1,1
9451,4,2,2,2,4,4,4,4,3,3
6099,5,1,1,4,3,4,3,5,5,2
9861,5,2,2,3,4,3,4,3,1,3
9558,2,1,5,5,4,1,5,5,5,3
9904,4,2,1,4,1,1,4,4,4,2
9839,5,2,4,5,2,4,1,5,1,1
6024,3,5,3,2,4,4,1,4,2,1
9878,2,4,2,2,1,2,5,5,1,5
6220,5,1,4,2,4,2,3,3,2,1
6241,5,3,2,4,5,2,1,4,4,2
9866,1,3,3,5,3,3,1,4,2,3
9581,5,1,2,4,1,1,3,2,5,1
9885,1,4,1,3,2,3,5,2,5,1
9409,1,2,5,1,1,1,1,4,1,2
9993,4,4,5,1,2,1,3,3,5,1
6203,2,3,4,3,1,3,2,5,2,2
9846,1,5,3,5,4,5,3,4,4,4
9840,2,4,1,5,1,1,1,5,5,1
9520,2,1,2,3,3,5,2,2,4,4
6900,5,2,3,2,2,5,1,1,2,4
9551,3,2,1,5,5,4,5,2,4,1
9577,1,4,3,1,3,3,3,2,4,1
9947,4,2,4,4,4,4,3,2,5,1
6974,4,1,1,1,5,3,1,5,4,3
9089,5,3,1,4,4,2,3,2,1,1
6217,1,1,1,1,2,5,4,4,2,2
6174,2,1,2,2,3,2,5,2,3,1
6268,3,3,4,1,3,2,1,4,3,2
6064,5,5,3,3,1,1,1,3,2,4
9067,3,3,3,5,4,5,1,4,4,3
10006,1,3,4,3,1,5,3,1,2,1
10014,4,3,5,2,1,2,1,3,5,4
9550,2,2,5,1,5,1,5,4,2,1
6218,3,3,1,4,4,5,1,2,4,5
9388,4,1,2,4,1,2,5,5,3,2
9631,5,4,2,5,5,2,4,2,3,5
9321,3,4,1,2,4,4,1,1,1,1
9636,3,4,5,1,1,1,5,2,1,3
9824,5,2,1,3,4,2,4,2,1,1
9851,5,1,1,4,5,3,3,2,1,3
9891,5,3,3,5,3,5,5,3,1,1
9586,2,5,4,3,1,3,5,2,2,5
9948,1,5,4,1,2,3,4,4,4,5
9564,5,1,3,2,1,4,2,1,2,2
9877,4,2,1,1,4,1,5,3,2,4
1066,2,3,4,5,2,3,3,3,4,4
9552,2,4,2,2,3,4,3,5,5,2
6025,4,4,4,5,1,1,4,3,3,3
6255,3,2,5,5,2,5,4,4,1,2
6166,3,3,4,3,3,5,3,1,5,2
6917,1,4,5,3,5,4,5,2,3,1
9546,4,5,1,5,5,2,3,2,2,4
6154,2,5,2,4,5,5,2,1,4,2
7111,3,1,3,4,5,3,5,5,5,4
